cycles:u,instructions:u,branch-misses:u,cache-misses:u,L1-dcache-load-misses,L1-icache-load-misses,LLC-load-misses,LLC-store-misses,branch-load-misses,dTLB-load-misses,dTLB-store-misses,iTLB-load-misses,l2_rqsts.code_rd_miss:u,l2_rqsts.demand_data_rd_miss:u,l2_rqsts.all_demand_miss:u,dtlb_load_misses.walk_pending:u,itlb_misses.walk_pending:u,dtlb_store_misses.walk_pending:u,dtlb_load_misses.walk_pending:u,offcore_requests.l3_miss_demand_data_rd:u,ocr.hwpf_l2_rfo.l3_miss:u,ocr.demand_data_rd.l3_miss:u,icache_64b.iftag_miss:u,l2_rqsts.swpf_miss:u,page-faults:u,mem-stores:u,l1d_pend_miss.pending:u,frontend_retired.itlb_miss:u,IPC,CPI
456101138,1599193607,2127980,182640,2969186,2699340,13112,2797,2107609,2595,405,455,97513,97939,171838,687077,696675,15596,687077,31233,12195,37544,2634661,1440,0,97891640,22863628,1713,3.506225865,0.285206954
441597409,1548863405,1963395,168350,2458996,2778184,8201,3006,1869366,1693,510,130,41260,27083,69580,111129,8910,40008,111129,8191,17421,8253,2965604,1133,0,97318821,15148282,4816,3.507410536,0.285110622
455543107,1598273677,1954574,253893,2335964,3911115,27903,55149,1576891,3030,1482,280,50535,36137,115637,183477,12248,82952,183477,17703,38233,17741,3156319,3260,0,95698450,17620800,2382,3.508501506,0.285021967
450458296,1580438514,1913558,172812,2748697,2693494,11893,3576,1796152,14223,634,980,150146,152685,319531,274266,39930,40852,274266,10796,18718,10402,3326286,1052,0,96282347,19570525,3717,3.508512393,0.285021082
456645574,1602216528,2079222,177757,2523678,3588070,13830,7534,1989185,2229,1037,100,76528,41825,114902,400559,51039,350600,400559,31616,58207,41102,3348065,1241,0,100546988,11573531,1598,3.508665405,0.285008653
449235335,1576364856,2043733,156536,2389895,2962137,10467,4633,2046704,2314,419,779,82504,33642,95125,117204,7978,33893,117204,7767,15719,8142,3139285,1114,0,100769477,12817234,1954,3.508995694,0.284981826
445396896,1563246170,1743768,425826,2835550,3154214,17868,3354,1756293,3912,515,160,128591,82802,276459,518264,45181,549164,518264,27414,115459,27246,3874403,2060,0,88922605,35594625,5567,3.509782363,0.284917951
446648746,1567672669,1850230,266012,2579342,3243199,15616,8358,1778927,4779,217,605,43283,91931,200369,79723,9970,60321,79723,8993,24386,9506,3394934,1546,0,98484544,17166707,4063,3.509855749,0.284911994
455994893,1600499031,2084146,191355,2407169,3554058,15495,9558,1914500,2039,1528,499,74368,53297,311642,723743,57290,23254,723743,67696,68002,31414,3165157,1421,1,101110680,12944112,1758,3.509905605,0.284907947
455411199,1598670438,2027727,189676,1838449,1929553,42352,1329,75693,2053,210,290,8170,132782,168454,669098,11315,230432,669098,25273,85657,14052,3575642,1759,0,101334997,12631871,1851,3.510388944,0.284868719
453085328,1590706972,2098336,123379,2461999,3407096,9036,4573,2060099,1277,736,95,45139,28273,103004,187051,5524620,46885,187051,8610,16566,8180,3218427,983,0,102047734,10550137,1543,3.510833112,0.284832679
453112747,1591200807,2176219,190129,2480390,3546082,24970,54682,1791572,2395,10900,3811,170833,40510,144432,103939,8143,77593,103939,7862,21288,7899,3307473,1539,0,101210806,13310441,2689,3.511710535,0.284761512
455005286,1598098312,2050062,181991,2590000,3309142,9425,5729,2106139,1747,1311,1162,61066,26141,78369,93124,8930,49994,93124,9494,27781,13176,3738746,1659,0,97695188,15396882,1357,3.512263178,0.284716705
456606273,1604282421,1590319,202372,1407558,762207,59011,888,373802,2655,180,65,9024,125172,131205,806656,7503,205204,806656,59710,90633,24742,3438760,1816,0,100800334,14507020,1297,3.513491855,0.284617139
452581600,1590347124,1963610,283814,3123779,2959412,24853,51068,1326906,1588,822,1090,153908,27322,97445,83878,13132,51470,83878,5636,12787,5792,2972043,857,0,104864961,9762445,1903,3.513945605,0.284580387
435715142,1531867683,1488042,317786,3100996,2796763,22513,3619,1620933,4506,781,826,209769,122717,300870,1080475,73586,111603,1080475,22380,18593,20421,2346035,1219,0,94420310,24966876,5591,3.515754986,0.284433928
446846599,1571072583,2016302,160775,2878764,2338994,14719,3890,1832644,1048,381,220,78055,67198,151408,157502,5230,17939,157502,7966,11104,7553,2384037,926,0,101058979,14307135,1933,3.515910352,0.284421359
454104339,1596797765,1781209,347887,3166468,2673639,26740,45670,1539105,1543,325,45,50263,33478,100061,157240,8241,44200,157240,15067,15165,16971,2979646,2805,0,98180746,21142117,2577,3.516367557,0.284384378
456415704,1605004789,1898072,160221,2822895,2746330,13906,4243,1906232,1451,571,155,80888,59871,141068,202443,9977,37874,202443,11406,19554,10334,2825147,1077,0,98346757,17050902,1703,3.516541554,0.284370307
