cycles:u,instructions:u,branch-misses:u,cache-misses:u,L1-dcache-load-misses,L1-icache-load-misses,LLC-load-misses,LLC-store-misses,branch-load-misses,dTLB-load-misses,dTLB-store-misses,iTLB-load-misses,l2_rqsts.code_rd_miss:u,l2_rqsts.demand_data_rd_miss:u,l2_rqsts.all_demand_miss:u,dtlb_load_misses.walk_pending:u,itlb_misses.walk_pending:u,dtlb_store_misses.walk_pending:u,dtlb_load_misses.walk_pending:u,offcore_requests.l3_miss_demand_data_rd:u,ocr.hwpf_l2_rfo.l3_miss:u,ocr.demand_data_rd.l3_miss:u,icache_64b.iftag_miss:u,IPC,CPI
454213350,807082240,4176861,1024332,1511855,731410,269916,223,3944641,178910,95,1307,25371,411937,430633,16252707,63341,3694,16252707,298628,156,304496,1237973,1.776879169,0.562784469
454075062,807215387,3993434,908047,1350109,961987,283242,1108,3902677,145935,90,836,22067,328160,345886,15318597,38897,9799,15318597,213281,1759,206497,1174702,1.777713542,0.562520325
455743733,810371214,4576223,965510,1352428,1131683,265995,648,4489689,179543,235,1878,21615,368969,381609,15746269,172246,14877,15746269,245833,1202,247678,1200368,1.778129144,0.562388847
451156475,802347662,3726198,996309,1342624,902557,315419,1931,4078625,144643,135,1584,23345,351838,379915,16879823,43793,17426,16879823,248480,695,242142,988538,1.778424353,0.562295494
449380701,800078990,4337960,787898,1529486,1030024,232863,665,4335173,145943,335,1431,24490,287041,324330,23164127,56791,7702,23164127,234062,394,221084,909424,1.780403538,0.561670418
454376865,808992486,3905819,1030655,1380202,716266,319098,1133,3897078,165114,90,1763,52918,348213,372209,13008459,53988,4965,13008459,234136,795,239427,697161,1.78044383,0.561657707
456245838,812712777,3971198,1000740,1589050,801005,294906,331,4091272,201591,250,1548,50213,408935,453925,14135410,48426,12793,14135410,255741,1565,278883,850913,1.781304528,0.561386324
457330719,814733387,4798158,1068141,1726245,659014,259725,191,4728328,172438,220,1928,25795,345393,365885,13897093,59415,9224,13897093,262348,187,261649,688324,1.781497182,0.561325614
457405608,815235169,5052821,881051,1528796,624363,236973,147,5033149,150163,123,2729,41698,362646,385573,15517285,74289,4915,15517285,270511,237,262030,751720,1.782302523,0.561071977
453905322,809006125,4538731,952251,1591444,892207,254904,601,4794305,173856,305,1873,18900,366607,410811,19792777,69726,10143,19792777,279160,3650,263610,1248487,1.782323506,0.561065371
457484315,815723268,5060310,942023,1536321,708941,249834,172,4856777,152587,170,2189,41370,340716,379404,13077396,70824,15030,13077396,252021,294,270509,659516,1.783062809,0.560832739
453063377,808091606,4170623,873833,1336238,940977,234646,230,4327084,146068,75,1708,31626,325091,358041,16716132,81261,6180,16716132,234209,1139,220977,821389,1.783617143,0.560658437
455737416,813178188,4663471,967290,1495515,833424,252472,234,4762737,168930,105,1572,26112,355376,391061,13364493,67163,6336,13364493,249383,288,261189,633126,1.784312983,0.560439794
453862365,809879855,4446902,841618,1401737,828814,220583,259,4404129,171749,120,1452,27669,366525,388197,14214001,68384,6381,14214001,258242,81,257443,1384347,1.784417298,0.560407031
456748477,815183727,4790290,839830,1563579,1097182,247672,575,4620972,163575,187,1978,26196,386468,404349,12872832,66392,14866,12872832,239591,3488,235338,1226309,1.784754122,0.560301269
456273355,814682556,4538469,813584,1517436,988389,233288,316,4631916,173460,216,2443,43363,362365,387468,13927612,62515,6907,13927612,264921,594,274021,698211,1.785514203,0.560062753
456729921,815735194,4605276,888865,1531139,1171941,262378,586,4489662,179460,225,1302,19310,370383,389052,13111530,39985,5228,13111530,245232,1627,227882,1590138,1.786034058,0.559899738
453681742,810298546,4086300,1001197,1400929,801322,304681,1023,4035212,150666,125,1883,59333,352323,357117,14192395,97103,3613,14192395,219718,976,238917,961358,1.786050597,0.559894553
455216336,813292470,4765720,805682,1459437,679003,231301,175,4836978,119276,234632,1432,12793,11828,30993426,6032261,29731,20897360,6032261,112077,3944,256117,1332188,1.786606511,0.559720338
452658848,809531705,4346992,867950,1417770,1134038,219756,714,4659747,157605,120,1853,21340,353196,383191,13660135,86101,8046,13660135,253771,1540,261079,1053616,1.788392536,0.559161359
457388922,818011024,4459606,695768,1510588,1336343,217040,781,4173037,149090,222,1545,19622,302203,318137,10863316,53781,9574,10863316,178776,958,173413,1139862,1.788436459,0.559147626
457001409,817351355,4828300,854710,1518449,810535,232192,162,4908468,163492,95,1853,27877,372238,403701,15111387,43180,3446,15111387,257393,1685,256587,692272,1.788509486,0.559124795
457325731,817975640,4614090,882011,1511643,774208,231106,259,4625196,172345,126,1432,28944,368999,391133,13513621,66768,20456,13513621,216074,613,230124,747980,1.788606205,0.559094561
456673555,817126667,4486529,1014863,1399719,1065111,281494,222,4575127,190317,245,1357,26504,427531,429775,39922995,108642,4627,39922995,322833,1909,306664,1057370,1.789301478,0.558877312
455437867,814953874,4374627,994929,1412749,747742,260637,300,4430379,162896,220,1540,38515,387196,434949,39857684,50948,9792,39857684,321572,1396,312424,691079,1.789385409,0.558851098
457300622,818402099,4721051,963214,1484948,659312,255497,72,4787313,169458,241,2712,39497,349491,378311,11983460,66144,2886,11983460,226177,200,238256,688060,1.789636969,0.558772543
455245381,814739171,4467856,861812,1568967,1197889,243818,479,4572623,168745,290,2038,21316,359967,399202,14779215,81262,11828,14779215,262133,3519,253888,1180317,1.789670373,0.558762113
457100715,818086687,4531416,820940,1686678,735712,220846,87,4476737,161607,170,1718,33288,416557,444022,32860622,108856,8581,32860622,252220,471,226037,737350,1.789729616,0.558743618
456158617,816622565,4811701,978541,1542949,837327,263702,209,4805176,171383,180,1758,28910,359591,392026,12833386,65839,5748,12833386,243460,400,256534,746556,1.790216242,0.558591737
454869933,814517703,3981204,936194,1330879,813426,266409,779,4069670,156040,170,2369,25643,349288,378368,14559596,88635,4420,14559596,204165,263,203564,758876,1.790660679,0.558453096
456205530,817050833,4227967,897576,1337055,748970,260655,341,4204530,169210,170,1302,24260,347540,407088,15407688,52498,3907,15407688,245515,576,250172,887020,1.79097091,0.558356361
454536801,814128840,4291542,988257,1535853,1033780,276923,372,4437133,170590,160,1227,26380,377940,422436,14267680,69402,6049,14267680,258083,1816,251879,1142426,1.791117547,0.558310649
456106635,817057623,4513004,998824,1465314,768016,265516,68,4532915,180884,190,1307,29250,412565,423153,23099925,64605,11496,23099925,283482,457,294946,842160,1.791374122,0.558230683
456821329,818641367,4349413,913674,1491135,841828,232864,115,4337264,158869,135,1693,20754,317675,351942,11790345,65248,5941,11790345,234392,1430,247414,773092,1.792038408,0.558023754
453713265,813451073,4287933,864977,1656027,1239521,254654,875,4325100,152996,375,1412,17608,328446,352661,13879496,59688,9367,13879496,233978,1070,235613,1008819,1.792874786,0.557763435
455694801,817018339,4623767,903048,1437343,854651,257606,330,4623836,169721,100,1893,26961,378417,399407,13776195,53576,16205,13776195,236987,519,248071,868473,1.792906869,0.557753455
456406691,818406048,4282090,789647,1683399,1313539,250398,735,4567328,170153,241,1384,19156,387673,423947,14116556,38835,8541,14116556,248992,1446,244088,1090108,1.793150855,0.557677564
456986287,819781634,4483504,833596,1500955,1207737,242400,219,4356356,142352,130,1608,22318,326450,356890,13278258,74236,8303,13278258,223993,947,236884,1078760,1.793886726,0.557448799
453823254,814251079,4292912,830510,1324906,761901,252172,572,4371843,175251,165,1307,25931,387201,422022,13680624,53636,9305,13680624,242599,381,219109,813513,1.794203078,0.55735051
456609379,819372047,3947967,923188,1460164,1291145,272704,995,4447728,163187,85,1893,28090,381077,435244,21924520,95452,15441,21924520,254015,3525,276704,1477342,1.79447047,0.557267459
455269090,817101655,4469432,854397,1822628,1136764,238352,813,4297090,169723,155,1663,22346,399341,405336,14152607,112193,5031,14152607,247902,1446,222441,1148201,1.794766377,0.557175582
451622881,810751056,4128917,864820,1363401,829253,270924,1158,4100286,142672,245,1708,23894,298914,333215,19333642,57204,7726,19333642,233569,644,212110,879582,1.795194819,0.557042606
456577707,819695835,4757898,843565,1502260,990198,235306,366,4440151,154122,220,1362,21482,346531,379646,13091793,51357,6612,13091793,238793,457,234127,957309,1.795304112,0.557008695
457484527,821328206,4308841,984419,1488761,981700,259504,511,4474625,167106,110,1383,27376,388808,418337,16213733,58884,5531,16213733,276629,1478,261792,817741,1.795313628,0.557005742
452885825,813135673,4424276,894227,1191272,823131,270309,1480,4474093,121200,55,1683,20613,276198,294927,23124975,64557,2648,23124975,220827,1383,246943,633993,1.795454015,0.55696219
455118101,817149443,4402502,877236,1591860,1352178,244004,723,4362309,168982,295,1778,47462,360380,489944,27386391,38348,19006,27386391,204334,2464,244641,1262253,1.795466806,0.556958222
457402250,821420255,4274285,882510,1577855,1200778,238887,507,4463063,176451,430,2219,23544,399889,426037,13696335,74110,21086,13696335,242582,4113,260280,1325505,1.79583781,0.556843159
453074409,814039459,4120947,944724,1534728,1415876,271146,511,4181181,167410,131,1047,24246,364852,392370,14792614,45836,8146,14792614,243783,1271,276166,917534,1.796701475,0.556575488
453012171,814325973,4692297,838592,1484703,706544,249144,275,4435921,156701,74,2673,38934,375353,410585,11067015,73718,4308,11067015,194722,369,197071,661699,1.797580783,0.556303232
455012402,818246701,4410377,944896,1401943,1129249,283087,358,4331358,173626,297,1400,33148,380835,409713,14191554,42060,12874,14191554,241815,300,245264,843129,1.798295381,0.556082171
446689568,803340496,4373996,877966,1220317,746601,273500,472,4474636,153108,60,1683,33338,312029,361567,32273835,81248,10406,32273835,278313,2885,285692,1871910,1.79843129,0.556040148
456899366,822370570,4355950,961506,1331445,898523,236478,144,4452916,170510,285,1562,35715,386262,431142,20361855,49541,9742,20361855,245739,1068,226148,807566,1.799894312,0.555588177
455993734,821042858,4333409,902975,1441409,846597,226021,128,4221498,153313,185,2569,24141,349496,368360,12306833,94241,5129,12306833,178473,936,176674,763778,1.800557325,0.555383595
454773685,818870467,4219656,853422,1323127,1406764,265402,2971,4002385,162358,228,2532,21376,379425,408975,13246821,64365,11096,13246821,219943,2429,201240,1443731,1.800610928,0.555367061
457278241,823644357,5146126,842169,1475923,716051,231497,122,5140459,146282,120,2905,25641,302336,330205,16305542,174393,3339,16305542,261922,294,262553,573534,1.801188605,0.555188944
456892113,822967832,4544573,949476,1414621,1239809,246787,463,4562796,149488,247,2698,39050,386817,404048,43100660,46901,24881,43100660,317978,2411,309066,1026474,1.801230112,0.555176151
452864166,816269108,4035706,810297,1541029,1408242,212165,901,4173522,152652,470,1768,59468,329846,393668,33430793,98146,31571,33430793,276618,4434,293954,1178617,1.802459036,0.554797629
445573116,803502142,4076585,797289,1171299,953715,229858,526,4198382,126317,105,2174,22622,283472,303004,18234822,56963,8159,18234822,204055,582,212236,778961,1.803300319,0.554538803
456924486,824192248,4622723,916639,1462490,1001142,233567,303,4537676,157807,170,1838,23164,343628,341366,16693604,160622,3878,16693604,235936,1490,228711,1076198,1.803782186,0.554390662
457241200,824879743,4690258,897452,1539301,1045705,243136,284,4695225,170437,105,1482,30378,350794,383338,11405354,100324,4439,11405354,201012,1108,217909,1053986,1.804036344,0.554312558
428918404,773845349,4117649,824458,1326033,880439,238776,169,4650371,137111,125,1277,31773,334183,391456,27918058,96208,8633,27918058,273110,644,274797,1351686,1.804178468,0.554268892
456983599,824673749,4297320,1052696,1505062,824027,268818,169,4449578,187498,130,1918,29039,389745,405992,12365576,74721,14809,12365576,199443,344,205145,876803,1.804602508,0.554138651
